Rank,Collection Name,Chain,Created Date,Supply,Owners,Volume (ETH),Volume (USD),Sales,Floor Price (ETH),Floor Price (USD)
1,Bored Ape Yacht Club,Ethereum,2021-04-22,9998,5492,1546242.77,3656219006,53128,11.65,52838
2,CryptoPunks,Ethereum,2017-06-23,9994,3856,1319319.67,3617009498,25148,49.50,224543
3,Mutant Ape Yacht Club,Ethereum,2021-08-29,19555,11817,1111481.30,2604403393,123049,1.65,7495
4,Azuki,Ethereum,2022-01-12,10000,4197,824226.59,1853247014,85956,2.05,9316
5,Pudgy Penguins,Ethereum,2021-07-22,8888,4887,474838.25,1280838495,84207,13.12,59515
6,Otherdeed for Otherside,Ethereum,2022-04-29,36294,14350,605658.33,1270647318,191493,0.14,657
7,CLONE X - X TAKASHI MURAKAMI,Ethereum,2021-12-12,19764,9167,419889.67,999541801,91609,0.24,1082
8,Doodles,Ethereum,2021-10-17,9998,4250,349473.98,855203316,79877,0.88,3987
9,Moonbirds,Ethereum,2022-04-15,9999,5630,357417.86,806463504,71676,3.81,17283
10,Wrapped Cryptopunks,Ethereum,2020-09-08,558,109,354329.50,653046788,6211,49.90,226358
11,Bored Ape Kennel Club,Ethereum,2021-06-18,9602,5164,285844.86,597513704,66295,0.40,1800
12,Meebits,Ethereum,2021-05-03,20000,6501,187026.88,493671162,52654,0.70,3175
13,Cool Cats,Ethereum,2021-06-27,9968,5387,153692.80,430403558,62563,0.47,2131
14,BEANZ Official,Ethereum,2022-03-31,19950,8306,193428.26,427430105,156523,0.10,442
15,Milady Maker,Ethereum,2021-08-24,9998,5184,170433.63,411676136,64567,2.61,11818
16,Audioglyphs,Ethereum,2021-08-16,9989,2685,138114.07,382596686,10481,0.01,54
17,Lil Pudgys,Ethereum,2021-12-19,21916,9815,130468.29,376370530,146637,1.55,7012
18,DeGods,Ethereum,2023-03-30,3593,1302,153938.40,326996689,39418,0.45,2041
19,Hashmasks,Ethereum,2021-01-28,16384,5257,181074.48,315951050,27536,0.11,479
20,The Sandbox LANDs,Ethereum,2019-12-04,280390,25476,64153.87,286798852,65521,0.05,213
21,Loot (for Adventurers),Ethereum,2021-08-27,7779,2371,76696.84,277167886,16457,0.14,626
22,CrypToadz by GREMPLIN,Ethereum,2021-09-08,7022,3698,80632.30,260497341,30632,0.69,3130
23,Memeland Captainz,Ethereum,2023-01-06,9999,3156,115222.82,249539531,28949,0.47,2114
24,World of Women,Ethereum,2021-07-27,10000,5239,85347.86,247074270,36594,0.35,1597
25,Parallel Alpha,Ethereum,2021-03-23,5855182,64907,77939.24,234440179,270552,0.00014,0.64
26,0N1 Force,Ethereum,2021-08-15,7777,3295,87710.52,228272486,59623,0.23,1037
27,Chromie Squiggle by Snowfro,Ethereum,2021-10-16,10000,2837,78230.66,202542274,10264,5.60,25403
28,VeeFriends,Ethereum,2021-05-11,10255,4751,70471.27,197582759,10329,1.10,4990
29,Fidenza by Tyler Hobbs,Ethereum,2021-10-15,999,507,68819.35,192441669,1505,45.00,204130
30,Azuki Elementals,Ethereum,2023-06-21,17669,6261,72914.81,188954965,88254,0.18,835
31,Bored Ape Chemistry Club,Ethereum,2021-08-28,445,243,58697.20,187728546,3927,2.30,10433
32,mfers,Ethereum,2021-11-30,10021,5492,74081.85,178389430,61147,0.44,1991
33,MekaVerse,Ethereum,2021-10-07,8888,4180,49931.48,177567546,20388,0.03,122
34,ENS: Ethereum Name Service,Ethereum,2019-05-08,4035859,840131,88795.28,172461915,395745,0.00005,0.25
35,NFT Worlds,Ethereum,2021-10-06,10000,868,55942.66,161587315,24393,0.03,134
36,HAPE PRIME,Ethereum,2022-01-19,8192,3806,57667.69,160312855,19665,0.08,341
37,Opepen Edition,Ethereum,2023-01-08,15771,3550,87803.68,159598975,197889,0.23,1053
38,RTFKT - MNLTH,Ethereum,2022-02-05,3681,1997,56331.14,159448308,10731,0.02,68
39,adidas Originals Into the Metaverse,Ethereum,2021-12-17,9931,7596,48361.99,149560888,47772,0.03,115
40,Creepz by OVERLORD,Ethereum,2022-01-06,11112,2295,56487.29,144435071,24491,0.92,4169
41,Murakami.Flowers Seed,Ethereum,2022-03-29,446,297,48941.42,142353777,8081,0.55,2495
42,RTFKT - CloneX Mintvial,Ethereum,2021-11-27,236,158,38240.04,138859884,6296,0.40,1814
43,Emblem Vault Legacy,Ethereum,2020-09-09,49753,10448,49841.59,138574355,44366,N/A,N/A
44,FLUF World,Ethereum,2021-08-05,10000,3082,48542.74,137721152,29078,0.10,454
45,Invisible Friends,Ethereum,2022-02-21,5000,3413,55403.50,137245527,17094,0.14,616
